iter	Passed	Remaining
0	0	89
1	1	86
2	2	82
3	3	76
4	3	74
5	4	72
6	5	73
7	6	75
8	7	74
9	8	73
10	8	70
11	9	67
12	9	65
13	10	63
14	10	61
15	11	59
16	11	58
17	12	57
18	13	56
19	13	54
20	14	53
21	14	52
22	15	52
23	16	52
24	17	51
25	17	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	28	41
41	28	39
42	29	39
43	30	38
44	30	37
45	31	36
46	31	36
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	41	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	19
71	47	18
72	47	17
73	48	17
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
